model,tier,noise_level,precision,recall,f1
anthropic/claude-haiku-4.5,Tier 1,1,1.0,0.855,0.903
anthropic/claude-haiku-4.5,Tier 1,3,1.0,0.855,0.903
anthropic/claude-haiku-4.5,Tier 1,5,1.0,0.848,0.899
anthropic/claude-haiku-4.5,Tier 1,7,1.0,0.848,0.899
anthropic/claude-haiku-4.5,Tier 1,9,1.0,0.841,0.894
anthropic/claude-haiku-4.5,Tier 2,1,0.937,0.462,0.59
anthropic/claude-haiku-4.5,Tier 2,3,0.95,0.469,0.597
anthropic/claude-haiku-4.5,Tier 2,5,0.948,0.467,0.595
anthropic/claude-haiku-4.5,Tier 2,7,0.948,0.472,0.599
anthropic/claude-haiku-4.5,Tier 2,9,0.938,0.464,0.59
openai/gpt-5-mini,Tier 1,1,0.986,0.862,0.903
openai/gpt-5-mini,Tier 1,3,1.0,0.87,0.913
openai/gpt-5-mini,Tier 1,5,1.0,0.877,0.918
openai/gpt-5-mini,Tier 1,7,1.0,0.87,0.913
openai/gpt-5-mini,Tier 1,9,0.986,0.862,0.903
openai/gpt-5-mini,Tier 2,1,0.952,0.438,0.567
openai/gpt-5-mini,Tier 2,3,0.958,0.445,0.575
openai/gpt-5-mini,Tier 2,5,0.96,0.441,0.572
openai/gpt-5-mini,Tier 2,7,0.968,0.447,0.582
openai/gpt-5-mini,Tier 2,9,0.96,0.446,0.578
qwen/qwen-2.5-coder-32b-instruct,Tier 1,1,1.0,0.824,0.882
qwen/qwen-2.5-coder-32b-instruct,Tier 1,3,1.0,0.868,0.912
qwen/qwen-2.5-coder-32b-instruct,Tier 1,5,1.0,0.833,0.889
qwen/qwen-2.5-coder-32b-instruct,Tier 1,7,1.0,0.861,0.907
qwen/qwen-2.5-coder-32b-instruct,Tier 1,9,1.0,0.842,0.895
qwen/qwen-2.5-coder-32b-instruct,Tier 2,1,1.0,0.518,0.646
qwen/qwen-2.5-coder-32b-instruct,Tier 2,3,0.998,0.525,0.653
qwen/qwen-2.5-coder-32b-instruct,Tier 2,5,0.998,0.506,0.639
qwen/qwen-2.5-coder-32b-instruct,Tier 2,7,0.998,0.521,0.648
qwen/qwen-2.5-coder-32b-instruct,Tier 2,9,0.998,0.519,0.65
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,1,1.0,0.877,0.918
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,3,1.0,0.877,0.918
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,5,1.0,0.877,0.918
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,7,1.0,0.877,0.918
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,9,1.0,0.877,0.918
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,1,1.0,0.486,0.624
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,3,1.0,0.491,0.629
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,5,1.0,0.481,0.622
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,7,1.0,0.483,0.623
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,9,1.0,0.49,0.63
x-ai/grok-code-fast-1,Tier 1,1,1.0,0.855,0.903
x-ai/grok-code-fast-1,Tier 1,3,1.0,0.855,0.903
x-ai/grok-code-fast-1,Tier 1,5,1.0,0.848,0.899
x-ai/grok-code-fast-1,Tier 1,7,0.986,0.826,0.879
x-ai/grok-code-fast-1,Tier 1,9,1.0,0.862,0.908
x-ai/grok-code-fast-1,Tier 2,1,1.0,0.459,0.597
x-ai/grok-code-fast-1,Tier 2,3,1.0,0.454,0.594
x-ai/grok-code-fast-1,Tier 2,5,1.0,0.452,0.591
x-ai/grok-code-fast-1,Tier 2,7,1.0,0.459,0.597
x-ai/grok-code-fast-1,Tier 2,9,1.0,0.457,0.595
