benchmark,model,query_id,permutations_used,mean_jaccard,std_jaccard,variance_selected_size,mean_selected_size
stabletoolbench,qwen/qwen2.5-coder-7b-instruct,15,10,0.6666666666666666,0.36132472314464664,0.8400000000000001,3.4
stabletoolbench,qwen/qwen-2.5-coder-32b-instruct,15,10,0.7066666666666666,0.24349309823666232,0.15999999999999998,3.2
stabletoolbench,anthropic/claude-haiku-4.5,15,10,1.0,0.0,0.0,4.0
stabletoolbench,x-ai/grok-code-fast-1,15,10,0.8,0.1390443574307614,0.6,4.0
stabletoolbench,openai/gpt-5-mini,15,10,0.8611111111111112,0.12422599874998834,0.25,3.5
stabletoolbench,qwen/qwen2.5-coder-7b-instruct,16,10,0.8,0.4,0.36000000000000004,0.2
stabletoolbench,qwen/qwen-2.5-coder-32b-instruct,16,10,1.0,0.0,0.0,2.0
stabletoolbench,qwen/qwen3-235b-a22b-thinking-2507,16,10,1.0,0.0,0.0,2.0
stabletoolbench,anthropic/claude-haiku-4.5,16,10,1.0,0.0,0.0,2.0
stabletoolbench,x-ai/grok-code-fast-1,16,10,1.0,0.0,0.0,2.0
stabletoolbench,openai/gpt-5-mini,16,10,1.0,0.0,0.0,2.0
stabletoolbench,qwen/qwen2.5-coder-7b-instruct,17,10,0.4303703703703704,0.3356086949992835,0.15999999999999998,3.2
stabletoolbench,qwen/qwen-2.5-coder-32b-instruct,17,10,0.3711111111111111,0.3379933522613122,0.36,2.8
stabletoolbench,qwen/qwen3-235b-a22b-thinking-2507,15,10,0.8814814814814813,0.15956043872991124,0.15999999999999998,2.8
stabletoolbench,anthropic/claude-haiku-4.5,17,10,0.731111111111111,0.2698330530961874,0.0,3.0
stabletoolbench,x-ai/grok-code-fast-1,17,10,0.5444444444444444,0.346766367429494,0.24000000000000005,2.6
stabletoolbench,qwen/qwen3-235b-a22b-thinking-2507,17,10,0.7407407407407406,0.39056078004337974,0.2,2.0
stabletoolbench,openai/gpt-5-mini,17,10,0.6444444444444445,0.4786813161897337,0.64,2.6
stabletoolbench,qwen/qwen2.5-coder-7b-instruct,18,10,0.8,0.4,0.36000000000000004,0.2
stabletoolbench,qwen/qwen-2.5-coder-32b-instruct,18,10,1.0,0.0,0.0,1.0
stabletoolbench,qwen/qwen3-235b-a22b-thinking-2507,18,10,1.0,0.0,0.0,1.0
stabletoolbench,anthropic/claude-haiku-4.5,18,10,1.0,0.0,0.0,1.0
stabletoolbench,x-ai/grok-code-fast-1,18,10,1.0,0.0,0.0,1.0
stabletoolbench,qwen/qwen2.5-coder-7b-instruct,19,10,0.3111111111111111,0.4254264382017033,0.29000000000000004,0.9
stabletoolbench,openai/gpt-5-mini,18,10,1.0,0.0,0.0,1.0
stabletoolbench,qwen/qwen-2.5-coder-32b-instruct,19,10,1.0,0.0,0.0,1.0
stabletoolbench,anthropic/claude-haiku-4.5,19,10,1.0,0.0,0.0,1.0
stabletoolbench,qwen/qwen3-235b-a22b-thinking-2507,19,10,1.0,0.0,0.0,1.0
stabletoolbench,x-ai/grok-code-fast-1,19,10,1.0,0.0,0.0,1.0
stabletoolbench,openai/gpt-5-mini,19,10,1.0,0.0,0.0,1.0
stabletoolbench,qwen/qwen2.5-coder-7b-instruct,20,10,0.35555555555555557,0.41662962798339276,0.21000000000000002,1.7
stabletoolbench,qwen/qwen-2.5-coder-32b-instruct,20,10,1.0,0.0,0.0,1.0
stabletoolbench,anthropic/claude-haiku-4.5,20,10,1.0,0.0,0.0,1.0
stabletoolbench,qwen/qwen3-235b-a22b-thinking-2507,20,10,1.0,0.0,0.0,1.0
stabletoolbench,x-ai/grok-code-fast-1,20,10,1.0,0.0,0.0,1.0
stabletoolbench,openai/gpt-5-mini,20,10,1.0,0.0,0.0,1.0
stabletoolbench,qwen/qwen2.5-coder-7b-instruct,21,10,0.5333333333333333,0.49888765156985887,0.20999999999999996,0.3
stabletoolbench,qwen/qwen-2.5-coder-32b-instruct,21,10,1.0,0.0,0.0,1.0
stabletoolbench,anthropic/claude-haiku-4.5,21,10,1.0,0.0,0.0,1.0
stabletoolbench,x-ai/grok-code-fast-1,21,10,1.0,0.0,0.0,1.0
stabletoolbench,qwen/qwen3-235b-a22b-thinking-2507,21,10,1.0,0.0,0.0,1.0
stabletoolbench,openai/gpt-5-mini,21,10,1.0,0.0,0.0,1.0
stabletoolbench,qwen/qwen2.5-coder-7b-instruct,22,10,0.6444444444444445,0.4786813161897337,0.6400000000000002,0.4
stabletoolbench,qwen/qwen-2.5-coder-32b-instruct,22,10,1.0,0.0,0.0,2.0
stabletoolbench,anthropic/claude-haiku-4.5,22,10,0.8666666666666667,0.2666666666666667,0.0,2.0
stabletoolbench,x-ai/grok-code-fast-1,22,10,1.0,0.0,0.0,3.0
