model,tier,noise_level,precision,recall,f1
anthropic/claude-haiku-4.5,Tier 1,1,0.597,0.62,0.599
anthropic/claude-haiku-4.5,Tier 1,3,0.523,0.54,0.521
anthropic/claude-haiku-4.5,Tier 1,5,0.484,0.52,0.479
anthropic/claude-haiku-4.5,Tier 1,7,0.454,0.5,0.458
anthropic/claude-haiku-4.5,Tier 1,9,0.449,0.46,0.44
anthropic/claude-haiku-4.5,Tier 2,1,0.708,0.681,0.675
anthropic/claude-haiku-4.5,Tier 2,3,0.579,0.644,0.596
anthropic/claude-haiku-4.5,Tier 2,5,0.557,0.586,0.546
anthropic/claude-haiku-4.5,Tier 2,7,0.534,0.572,0.535
anthropic/claude-haiku-4.5,Tier 2,9,0.535,0.557,0.529
openai/gpt-5-mini,Tier 1,1,0.807,0.76,0.765
openai/gpt-5-mini,Tier 1,3,0.7,0.73,0.698
openai/gpt-5-mini,Tier 1,5,0.709,0.7,0.681
openai/gpt-5-mini,Tier 1,7,0.654,0.67,0.634
openai/gpt-5-mini,Tier 1,9,0.64,0.66,0.628
openai/gpt-5-mini,Tier 2,1,0.742,0.6,0.633
openai/gpt-5-mini,Tier 2,3,0.697,0.604,0.605
openai/gpt-5-mini,Tier 2,5,0.588,0.518,0.523
openai/gpt-5-mini,Tier 2,7,0.669,0.598,0.602
openai/gpt-5-mini,Tier 2,9,0.593,0.527,0.535
qwen/qwen-2.5-coder-32b-instruct,Tier 1,1,0.82,0.816,0.799
qwen/qwen-2.5-coder-32b-instruct,Tier 1,3,0.727,0.765,0.727
qwen/qwen-2.5-coder-32b-instruct,Tier 1,5,0.718,0.735,0.708
qwen/qwen-2.5-coder-32b-instruct,Tier 1,7,0.688,0.724,0.688
qwen/qwen-2.5-coder-32b-instruct,Tier 1,9,0.652,0.673,0.645
qwen/qwen-2.5-coder-32b-instruct,Tier 2,1,0.827,0.637,0.704
qwen/qwen-2.5-coder-32b-instruct,Tier 2,3,0.664,0.559,0.585
qwen/qwen-2.5-coder-32b-instruct,Tier 2,5,0.66,0.54,0.57
qwen/qwen-2.5-coder-32b-instruct,Tier 2,7,0.527,0.451,0.461
qwen/qwen-2.5-coder-32b-instruct,Tier 2,9,0.551,0.464,0.483
qwen/qwen2.5-coder-7b-instruct,Tier 1,1,0.218,0.235,0.224
qwen/qwen2.5-coder-7b-instruct,Tier 1,3,0.131,0.194,0.152
qwen/qwen2.5-coder-7b-instruct,Tier 1,5,0.139,0.214,0.162
qwen/qwen2.5-coder-7b-instruct,Tier 1,7,0.16,0.255,0.185
qwen/qwen2.5-coder-7b-instruct,Tier 1,9,0.171,0.276,0.195
qwen/qwen2.5-coder-7b-instruct,Tier 2,1,0.304,0.257,0.27
qwen/qwen2.5-coder-7b-instruct,Tier 2,3,0.183,0.276,0.205
qwen/qwen2.5-coder-7b-instruct,Tier 2,5,0.197,0.245,0.198
qwen/qwen2.5-coder-7b-instruct,Tier 2,7,0.205,0.241,0.206
qwen/qwen2.5-coder-7b-instruct,Tier 2,9,0.213,0.248,0.213
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,1,0.83,0.89,0.848
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,3,0.756,0.82,0.774
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,5,0.701,0.76,0.716
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,7,0.767,0.82,0.774
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,9,0.695,0.73,0.7
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,1,0.807,0.695,0.731
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,3,0.726,0.647,0.665
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,5,0.689,0.642,0.64
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,7,0.674,0.63,0.626
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,9,0.679,0.618,0.624
x-ai/grok-code-fast-1,Tier 1,1,0.853,0.88,0.856
x-ai/grok-code-fast-1,Tier 1,3,0.726,0.81,0.75
x-ai/grok-code-fast-1,Tier 1,5,0.715,0.77,0.717
x-ai/grok-code-fast-1,Tier 1,7,0.658,0.72,0.664
x-ai/grok-code-fast-1,Tier 1,9,0.668,0.74,0.687
x-ai/grok-code-fast-1,Tier 2,1,0.838,0.805,0.802
x-ai/grok-code-fast-1,Tier 2,3,0.729,0.703,0.689
x-ai/grok-code-fast-1,Tier 2,5,0.718,0.725,0.681
x-ai/grok-code-fast-1,Tier 2,7,0.633,0.672,0.62
x-ai/grok-code-fast-1,Tier 2,9,0.627,0.687,0.631
