model,tier,noise_level,precision,recall,f1
anthropic/claude-haiku-4.5,Tier 1,1,0.988,0.936,0.953
anthropic/claude-haiku-4.5,Tier 1,3,0.988,0.934,0.952
anthropic/claude-haiku-4.5,Tier 1,5,0.987,0.934,0.952
anthropic/claude-haiku-4.5,Tier 1,7,0.988,0.934,0.952
anthropic/claude-haiku-4.5,Tier 1,9,0.987,0.936,0.952
anthropic/claude-haiku-4.5,Tier 2,1,1.0,0.815,0.881
anthropic/claude-haiku-4.5,Tier 2,3,1.0,0.805,0.876
anthropic/claude-haiku-4.5,Tier 2,5,0.996,0.814,0.88
anthropic/claude-haiku-4.5,Tier 2,7,1.0,0.813,0.879
anthropic/claude-haiku-4.5,Tier 2,9,0.998,0.807,0.876
openai/gpt-5-mini,Tier 1,1,0.995,0.942,0.96
openai/gpt-5-mini,Tier 1,3,0.988,0.928,0.948
openai/gpt-5-mini,Tier 1,5,0.988,0.933,0.952
openai/gpt-5-mini,Tier 1,7,0.993,0.936,0.955
openai/gpt-5-mini,Tier 1,9,0.986,0.93,0.949
openai/gpt-5-mini,Tier 2,1,0.994,0.755,0.831
openai/gpt-5-mini,Tier 2,3,0.991,0.768,0.841
openai/gpt-5-mini,Tier 2,5,0.996,0.753,0.829
openai/gpt-5-mini,Tier 2,7,0.998,0.776,0.845
openai/gpt-5-mini,Tier 2,9,1.0,0.771,0.85
qwen/qwen-2.5-coder-32b-instruct,Tier 1,1,0.999,0.954,0.97
qwen/qwen-2.5-coder-32b-instruct,Tier 1,3,0.999,0.952,0.968
qwen/qwen-2.5-coder-32b-instruct,Tier 1,5,0.999,0.953,0.968
qwen/qwen-2.5-coder-32b-instruct,Tier 1,7,0.999,0.952,0.968
qwen/qwen-2.5-coder-32b-instruct,Tier 1,9,0.999,0.952,0.968
qwen/qwen-2.5-coder-32b-instruct,Tier 2,1,1.0,0.781,0.863
qwen/qwen-2.5-coder-32b-instruct,Tier 2,3,1.0,0.789,0.868
qwen/qwen-2.5-coder-32b-instruct,Tier 2,5,1.0,0.772,0.856
qwen/qwen-2.5-coder-32b-instruct,Tier 2,7,1.0,0.796,0.872
qwen/qwen-2.5-coder-32b-instruct,Tier 2,9,1.0,0.801,0.874
qwen/qwen2.5-coder-7b-instruct,Tier 1,1,0.448,0.439,0.442
qwen/qwen2.5-coder-7b-instruct,Tier 1,3,0.432,0.422,0.425
qwen/qwen2.5-coder-7b-instruct,Tier 1,5,0.466,0.46,0.462
qwen/qwen2.5-coder-7b-instruct,Tier 1,7,0.45,0.444,0.446
qwen/qwen2.5-coder-7b-instruct,Tier 1,9,0.478,0.472,0.474
qwen/qwen2.5-coder-7b-instruct,Tier 2,1,0.7,0.594,0.636
qwen/qwen2.5-coder-7b-instruct,Tier 2,3,0.578,0.485,0.518
qwen/qwen2.5-coder-7b-instruct,Tier 2,5,0.554,0.465,0.5
qwen/qwen2.5-coder-7b-instruct,Tier 2,7,0.598,0.498,0.537
qwen/qwen2.5-coder-7b-instruct,Tier 2,9,0.683,0.558,0.604
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,1,1.0,0.956,0.971
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,3,1.0,0.956,0.971
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,5,1.0,0.958,0.972
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,7,1.0,0.958,0.972
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,9,1.0,0.957,0.972
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,1,1.0,0.828,0.895
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,3,1.0,0.839,0.899
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,5,1.0,0.832,0.894
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,7,1.0,0.843,0.902
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,9,1.0,0.845,0.907
x-ai/grok-code-fast-1,Tier 1,1,0.997,0.946,0.962
x-ai/grok-code-fast-1,Tier 1,3,1.0,0.948,0.966
x-ai/grok-code-fast-1,Tier 1,5,1.0,0.947,0.964
x-ai/grok-code-fast-1,Tier 1,7,0.999,0.948,0.964
x-ai/grok-code-fast-1,Tier 1,9,0.998,0.942,0.961
x-ai/grok-code-fast-1,Tier 2,1,1.0,0.803,0.867
x-ai/grok-code-fast-1,Tier 2,3,1.0,0.778,0.855
x-ai/grok-code-fast-1,Tier 2,5,0.998,0.796,0.87
x-ai/grok-code-fast-1,Tier 2,7,1.0,0.812,0.882
x-ai/grok-code-fast-1,Tier 2,9,0.999,0.782,0.858
