model,tier,noise_level,precision,recall,f1
anthropic/claude-haiku-4.5,Tier 1,1,0.987,0.934,0.952
anthropic/claude-haiku-4.5,Tier 1,3,0.988,0.934,0.952
anthropic/claude-haiku-4.5,Tier 1,5,0.987,0.934,0.952
anthropic/claude-haiku-4.5,Tier 1,7,0.988,0.935,0.952
anthropic/claude-haiku-4.5,Tier 1,9,0.987,0.934,0.952
anthropic/claude-haiku-4.5,Tier 2,1,0.996,0.828,0.889
anthropic/claude-haiku-4.5,Tier 2,3,1.0,0.801,0.872
anthropic/claude-haiku-4.5,Tier 2,5,1.0,0.844,0.898
anthropic/claude-haiku-4.5,Tier 2,7,0.998,0.831,0.89
anthropic/claude-haiku-4.5,Tier 2,9,1.0,0.82,0.884
openai/gpt-5-mini,Tier 1,1,0.991,0.933,0.952
openai/gpt-5-mini,Tier 1,3,0.996,0.938,0.957
openai/gpt-5-mini,Tier 1,5,0.99,0.932,0.951
openai/gpt-5-mini,Tier 1,7,0.994,0.936,0.955
openai/gpt-5-mini,Tier 1,9,0.984,0.93,0.948
openai/gpt-5-mini,Tier 2,1,0.992,0.762,0.835
openai/gpt-5-mini,Tier 2,3,0.998,0.805,0.87
openai/gpt-5-mini,Tier 2,5,0.998,0.769,0.846
openai/gpt-5-mini,Tier 2,7,0.989,0.766,0.837
openai/gpt-5-mini,Tier 2,9,0.996,0.757,0.833
qwen/qwen-2.5-coder-32b-instruct,Tier 1,1,0.999,0.953,0.968
qwen/qwen-2.5-coder-32b-instruct,Tier 1,3,0.999,0.954,0.969
qwen/qwen-2.5-coder-32b-instruct,Tier 1,5,0.999,0.951,0.966
qwen/qwen-2.5-coder-32b-instruct,Tier 1,7,0.999,0.952,0.968
qwen/qwen-2.5-coder-32b-instruct,Tier 1,9,0.999,0.953,0.968
qwen/qwen-2.5-coder-32b-instruct,Tier 2,1,1.0,0.789,0.869
qwen/qwen-2.5-coder-32b-instruct,Tier 2,3,1.0,0.788,0.868
qwen/qwen-2.5-coder-32b-instruct,Tier 2,5,1.0,0.782,0.861
qwen/qwen-2.5-coder-32b-instruct,Tier 2,7,1.0,0.787,0.866
qwen/qwen-2.5-coder-32b-instruct,Tier 2,9,1.0,0.795,0.87
qwen/qwen2.5-coder-7b-instruct,Tier 1,1,0.446,0.438,0.441
qwen/qwen2.5-coder-7b-instruct,Tier 1,3,0.444,0.436,0.438
qwen/qwen2.5-coder-7b-instruct,Tier 1,5,0.456,0.448,0.45
qwen/qwen2.5-coder-7b-instruct,Tier 1,7,0.45,0.444,0.444
qwen/qwen2.5-coder-7b-instruct,Tier 1,9,0.475,0.466,0.469
qwen/qwen2.5-coder-7b-instruct,Tier 2,1,0.637,0.554,0.587
qwen/qwen2.5-coder-7b-instruct,Tier 2,3,0.682,0.572,0.615
qwen/qwen2.5-coder-7b-instruct,Tier 2,5,0.594,0.517,0.547
qwen/qwen2.5-coder-7b-instruct,Tier 2,7,0.694,0.594,0.635
qwen/qwen2.5-coder-7b-instruct,Tier 2,9,0.629,0.527,0.564
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,1,1.0,0.956,0.97
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,3,1.0,0.956,0.971
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,5,1.0,0.955,0.97
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,7,1.0,0.958,0.972
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,9,1.0,0.956,0.97
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,1,1.0,0.829,0.895
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,3,1.0,0.818,0.888
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,5,1.0,0.826,0.891
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,7,1.0,0.847,0.906
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,9,1.0,0.824,0.891
x-ai/grok-code-fast-1,Tier 1,1,0.998,0.946,0.963
x-ai/grok-code-fast-1,Tier 1,3,1.0,0.949,0.966
x-ai/grok-code-fast-1,Tier 1,5,0.998,0.94,0.96
x-ai/grok-code-fast-1,Tier 1,7,1.0,0.944,0.962
x-ai/grok-code-fast-1,Tier 1,9,1.0,0.946,0.964
x-ai/grok-code-fast-1,Tier 2,1,1.0,0.802,0.868
x-ai/grok-code-fast-1,Tier 2,3,1.0,0.797,0.871
x-ai/grok-code-fast-1,Tier 2,5,1.0,0.828,0.892
x-ai/grok-code-fast-1,Tier 2,7,1.0,0.807,0.877
x-ai/grok-code-fast-1,Tier 2,9,1.0,0.802,0.872
