model,tier,noise_level,precision,recall,f1
anthropic/claude-haiku-4.5,Tier 1,1,0.84,0.8,0.813
anthropic/claude-haiku-4.5,Tier 1,3,0.713,0.71,0.709
anthropic/claude-haiku-4.5,Tier 1,5,0.627,0.62,0.621
anthropic/claude-haiku-4.5,Tier 1,7,0.707,0.71,0.705
anthropic/claude-haiku-4.5,Tier 1,9,0.665,0.66,0.655
anthropic/claude-haiku-4.5,Tier 2,1,0.715,0.639,0.666
anthropic/claude-haiku-4.5,Tier 2,3,0.793,0.704,0.733
anthropic/claude-haiku-4.5,Tier 2,5,0.765,0.657,0.692
anthropic/claude-haiku-4.5,Tier 2,7,0.705,0.63,0.651
anthropic/claude-haiku-4.5,Tier 2,9,0.74,0.615,0.66
openai/gpt-5-mini,Tier 1,1,0.913,0.85,0.869
openai/gpt-5-mini,Tier 1,3,0.91,0.85,0.87
openai/gpt-5-mini,Tier 1,5,0.877,0.81,0.829
openai/gpt-5-mini,Tier 1,7,0.9,0.81,0.84
openai/gpt-5-mini,Tier 1,9,0.88,0.81,0.83
openai/gpt-5-mini,Tier 2,1,0.917,0.703,0.766
openai/gpt-5-mini,Tier 2,3,0.919,0.701,0.765
openai/gpt-5-mini,Tier 2,5,0.84,0.668,0.717
openai/gpt-5-mini,Tier 2,7,0.786,0.644,0.681
openai/gpt-5-mini,Tier 2,9,0.883,0.675,0.734
qwen/qwen-2.5-coder-32b-instruct,Tier 1,1,1.0,0.918,0.946
qwen/qwen-2.5-coder-32b-instruct,Tier 1,3,0.98,0.878,0.912
qwen/qwen-2.5-coder-32b-instruct,Tier 1,5,0.959,0.898,0.916
qwen/qwen-2.5-coder-32b-instruct,Tier 1,7,0.942,0.857,0.884
qwen/qwen-2.5-coder-32b-instruct,Tier 1,9,0.925,0.857,0.873
qwen/qwen-2.5-coder-32b-instruct,Tier 2,1,0.935,0.706,0.789
qwen/qwen-2.5-coder-32b-instruct,Tier 2,3,0.905,0.658,0.738
qwen/qwen-2.5-coder-32b-instruct,Tier 2,5,0.874,0.619,0.694
qwen/qwen-2.5-coder-32b-instruct,Tier 2,7,0.862,0.602,0.681
qwen/qwen-2.5-coder-32b-instruct,Tier 2,9,0.833,0.575,0.653
qwen/qwen2.5-coder-7b-instruct,Tier 1,1,0.299,0.296,0.295
qwen/qwen2.5-coder-7b-instruct,Tier 1,3,0.276,0.296,0.278
qwen/qwen2.5-coder-7b-instruct,Tier 1,5,0.176,0.214,0.183
qwen/qwen2.5-coder-7b-instruct,Tier 1,7,0.241,0.296,0.256
qwen/qwen2.5-coder-7b-instruct,Tier 1,9,0.216,0.265,0.226
qwen/qwen2.5-coder-7b-instruct,Tier 2,1,0.369,0.347,0.349
qwen/qwen2.5-coder-7b-instruct,Tier 2,3,0.283,0.333,0.292
qwen/qwen2.5-coder-7b-instruct,Tier 2,5,0.342,0.306,0.299
qwen/qwen2.5-coder-7b-instruct,Tier 2,7,0.362,0.345,0.34
qwen/qwen2.5-coder-7b-instruct,Tier 2,9,0.308,0.285,0.28
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,1,1.0,0.97,0.98
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,3,0.977,0.95,0.955
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,5,0.957,0.91,0.925
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,7,0.977,0.95,0.952
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,9,0.95,0.92,0.925
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,1,0.956,0.83,0.876
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,3,0.956,0.827,0.876
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,5,0.933,0.728,0.79
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,7,0.889,0.736,0.79
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,9,0.85,0.671,0.733
x-ai/grok-code-fast-1,Tier 1,1,0.96,0.92,0.933
x-ai/grok-code-fast-1,Tier 1,3,0.937,0.93,0.929
x-ai/grok-code-fast-1,Tier 1,5,1.0,0.97,0.98
x-ai/grok-code-fast-1,Tier 1,7,0.933,0.91,0.909
x-ai/grok-code-fast-1,Tier 1,9,0.923,0.93,0.921
x-ai/grok-code-fast-1,Tier 2,1,0.993,0.819,0.873
x-ai/grok-code-fast-1,Tier 2,3,0.975,0.83,0.874
x-ai/grok-code-fast-1,Tier 2,5,0.891,0.775,0.804
x-ai/grok-code-fast-1,Tier 2,7,0.891,0.828,0.844
x-ai/grok-code-fast-1,Tier 2,9,0.925,0.84,0.865
