model,tier,noise_level,precision,recall,f1
anthropic/claude-haiku-4.5,Tier 1,1,1.0,0.841,0.894
anthropic/claude-haiku-4.5,Tier 1,3,1.0,0.848,0.899
anthropic/claude-haiku-4.5,Tier 1,5,1.0,0.855,0.903
anthropic/claude-haiku-4.5,Tier 1,7,1.0,0.862,0.908
anthropic/claude-haiku-4.5,Tier 1,9,1.0,0.855,0.903
anthropic/claude-haiku-4.5,Tier 2,1,0.95,0.474,0.602
anthropic/claude-haiku-4.5,Tier 2,3,0.946,0.462,0.591
anthropic/claude-haiku-4.5,Tier 2,5,0.954,0.468,0.598
anthropic/claude-haiku-4.5,Tier 2,7,0.95,0.467,0.595
anthropic/claude-haiku-4.5,Tier 2,9,0.937,0.459,0.586
openai/gpt-5-mini,Tier 1,1,1.0,0.862,0.908
openai/gpt-5-mini,Tier 1,3,0.986,0.87,0.908
openai/gpt-5-mini,Tier 1,5,1.0,0.877,0.918
openai/gpt-5-mini,Tier 1,7,0.986,0.862,0.903
openai/gpt-5-mini,Tier 1,9,0.986,0.862,0.903
openai/gpt-5-mini,Tier 2,1,0.976,0.452,0.584
openai/gpt-5-mini,Tier 2,3,0.968,0.449,0.582
openai/gpt-5-mini,Tier 2,5,0.96,0.444,0.575
openai/gpt-5-mini,Tier 2,7,0.968,0.452,0.583
openai/gpt-5-mini,Tier 2,9,0.96,0.442,0.573
qwen/qwen-2.5-coder-32b-instruct,Tier 1,1,1.0,0.824,0.882
qwen/qwen-2.5-coder-32b-instruct,Tier 1,3,1.0,0.81,0.873
qwen/qwen-2.5-coder-32b-instruct,Tier 1,5,1.0,0.818,0.879
qwen/qwen-2.5-coder-32b-instruct,Tier 1,7,1.0,0.8,0.867
qwen/qwen-2.5-coder-32b-instruct,Tier 1,9,1.0,0.81,0.873
qwen/qwen-2.5-coder-32b-instruct,Tier 2,1,1.0,0.516,0.646
qwen/qwen-2.5-coder-32b-instruct,Tier 2,3,1.0,0.516,0.646
qwen/qwen-2.5-coder-32b-instruct,Tier 2,5,0.998,0.515,0.642
qwen/qwen-2.5-coder-32b-instruct,Tier 2,7,0.998,0.519,0.647
qwen/qwen-2.5-coder-32b-instruct,Tier 2,9,0.998,0.513,0.643
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,1,1.0,0.87,0.913
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,3,1.0,0.877,0.918
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,5,1.0,0.87,0.913
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,7,1.0,0.877,0.918
qwen/qwen3-235b-a22b-thinking-2507,Tier 1,9,1.0,0.877,0.918
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,1,1.0,0.497,0.635
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,3,1.0,0.483,0.622
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,5,1.0,0.487,0.624
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,7,1.0,0.478,0.619
qwen/qwen3-235b-a22b-thinking-2507,Tier 2,9,1.0,0.483,0.622
x-ai/grok-code-fast-1,Tier 1,1,0.986,0.833,0.884
x-ai/grok-code-fast-1,Tier 1,3,1.0,0.833,0.889
x-ai/grok-code-fast-1,Tier 1,5,1.0,0.826,0.884
x-ai/grok-code-fast-1,Tier 1,7,1.0,0.862,0.908
x-ai/grok-code-fast-1,Tier 1,9,1.0,0.855,0.903
x-ai/grok-code-fast-1,Tier 2,1,1.0,0.45,0.589
x-ai/grok-code-fast-1,Tier 2,3,1.0,0.462,0.599
x-ai/grok-code-fast-1,Tier 2,5,1.0,0.453,0.593
x-ai/grok-code-fast-1,Tier 2,7,1.0,0.456,0.594
x-ai/grok-code-fast-1,Tier 2,9,1.0,0.451,0.591
